MUED8099	(1-3G)	MM CANDIDACY	701010	LE	TBA	CI	Finney, T.	05/09/2016 - 08/06/2016
MUHS6060	(1-3*)	INDEPENDENT STUDY	700302	LE	TBA	CI	McClung, B.	05/09/2016 - 08/06/2016
MUHS8090	(1-11G)	MASTER'S THESIS	700303	LE	TBA	CI	Finney, T.	05/09/2016 - 08/06/2016
MUHS9090	(1-12G)	DISSERTATION	700304	LE	TBA	CI	Finney, T.	05/09/2016 - 08/06/2016
NBSN4068	(3)	RN/BSN CAPSTONE	703035	OT	TBA	WB	Green, D.	05/09/2016 - 08/06/2016
NDNP8001	(3G)	DNP ROLE SEM	703315	PR	TBA	IN	Stec, M.	05/09/2016 - 08/06/2016
NDNP8002	(3G)	ROLE SEM DNP APRN	702824	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NDNP8002	(3G)	ROLE SEM DNP APRN	703316	PR	TBA	IN	Stec, M.	05/09/2016 - 08/06/2016
NDNP8010	(3G)	FINAN/ECON HLTHCARE	702826	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NDNP8014	(4G)	ADV PHYS/PATHO II	700453	EAST	LE	TR     	1:00p - 3:00p	CI	Hilvano, N.	05/09/2016 - 08/06/2016
NDNP8026	(3G)	CHEM & PHYSICS ANES	703155	LE	TBA	CI	Staff	05/09/2016 - 08/06/2016
NDNP9004	(3G)	BIOSTATS FOR EBP	703248	LE	TBA	WB	Baker, R.	05/09/2016 - 08/06/2016
NDNP9010	(3G)	DNP HEALTH POLICY	702823	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NDNP9035	(3G)	DNP PRACTICUM II	703306	PR	TBA	IN	Werdman, E.	05/09/2016 - 08/06/2016
NPHD9090	(1-14G)	DISSERTATION	702943	IS	TBA	IN	Martsolf, D.	05/09/2016 - 08/06/2016
NS4001	(1-5)	NEUROSCI RESEARCH	702631	R	IS	TBA	IN	Vilinsky, I.	05/09/2016 - 08/06/2016
NS4099	(1-4)	NEURO CAPSTONE	702632	R	IS	TBA	IN	Vilinsky, I.	05/09/2016 - 08/06/2016
NURS8002	(3G)	THEORETICAL BASIS	702785	OT	TBA	WB	Miller, E.	05/09/2016 - 08/06/2016
NURS8002	(3G)	THEORETICAL BASIS	702786	OT	TBA	WB	Miller, E.	05/09/2016 - 08/06/2016
NURS8004	(3G)	BIOSTATISTICS	702813	OT	TBA	WB	Baker, R.	05/09/2016 - 08/06/2016
NURS8004	(3G)	BIOSTATISTICS	702814	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NURS8004	(3G)	BIOSTATISTICS	702815	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NURS8006	(3G)	RESEARCHBESTEVID	702816	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NURS8006	(3G)	RESEARCHBESTEVID	702817	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NURS8006	(3G)	RESEARCHBESTEVID	702818	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NURS8006	(3G)	RESEARCHBESTEVID	702819	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NURS8008	(3G)	HEALTHCARE POLICY	702820	OT	TBA	WB	Baik, S.	05/09/2016 - 08/06/2016
NURS8008	(3G)	HEALTHCARE POLICY	702821	OT	TBA	WB	Baik, S.	05/09/2016 - 08/06/2016
NURS8008	(3G)	HEALTHCARE POLICY	702822	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NURS8020C	(3G)	ADV HEALTH ASSESS	702787	OT	TBA	WB	Colella, C.	05/09/2016 - 08/06/2016
NURS8022	(4G)	ADV. PHYSIO & PATHO	702788	OT	TBA	WB	Miniard, J.	05/09/2016 - 08/06/2016
NURS8022	(4G)	ADV. PHYSIO & PATHO	702789	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NURS8024	(3G)	PHARM  FOR APN	702790	OT	TBA	WB	Donaworth, S.	05/09/2016 - 08/06/2016
NURS8024	(3G)	PHARM  FOR APN	702791	OT	TBA	WB	Donaworth, S.	05/09/2016 - 08/06/2016
NURS8026	(3G)	DIFFERENTL DX ANP	702792	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
NURS8072	(1-4G)	INDEPENDENT STUDY	703197	IS	TBA	IN	Mullins, K.	05/09/2016 - 08/06/2016
NURS8072	(1-4G)	INDEPENDENT STUDY	703219	IS	TBA	IN	Staff	05/09/2016 - 08/06/2016
NURS8098	(1-4G)	CLINICAL ELECTIVE	703188	PR	TBA	IN	Trees, W.	05/09/2016 - 08/06/2016
NURS8098	(1-4G)	CLINICAL ELECTIVE	703189	PR	TBA	IN	Staff	05/09/2016 - 08/06/2016
NURS8099	(1G)	MSN CAPSTONE	702798	OT	TBA	WB	Hachey, L.	05/09/2016 - 08/06/2016
NURS8099	(1G)	MSN CAPSTONE	703317	OT	TBA	WB	Moniaci, V.	05/09/2016 - 08/06/2016
NUTR1010	(3)	NUTR FOR LIFESTYLE	702057	OT	TBA	WB	Kinney, D.	05/09/2016 - 08/06/2016
NUTR1030	(3)	PERSONAL NUTRITION	700436	UCBA	LE	TR     	1:15p - 2:45p	CI	Newman, L.	05/09/2016 - 08/06/2016
NUTR4070	(1-3)	IND STDY NUTR	700244	IS	TBA	IN	Cowie, E.	05/09/2016 - 08/06/2016
NUTR5020	(4)	SUPERVISED PRAC I	700235	N	PR	TBA	IN	Cowie, E.	05/09/2016 - 08/06/2016
NUTR7090	(1-4G)	MASTER'S THESIS	700237	R	IS	TBA	IN	Couch, S.	05/09/2016 - 08/06/2016
NUTR7090	(1-4G)	MASTER'S THESIS	700238	R	IS	TBA	IN	Krummel, D.	05/09/2016 - 08/06/2016
NUTR7090	(1-4G)	MASTER'S THESIS	700239	R	IS	TBA	IN	Lee, S.	05/09/2016 - 08/06/2016
NUTR7090	(1-4G)	MASTER'S THESIS	700240	R	IS	TBA	IN	Peairs, A.	05/09/2016 - 08/06/2016
OATN1017C	(3)	WORD PROC APPS	702268	OT	TBA	WB	Curran, A.	05/09/2016 - 08/06/2016
OATN1018C	(3)	PRESENTATION APPS	702269	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
OATN2019C	(3)	DATABASE APPS	702270	OT	TBA	WB	Curran, A.	05/09/2016 - 08/06/2016
OATN2020C	(3)	SPREADSHEETS APPS	702271	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
OBOE6000	(4*)	OBOE MAJOR SUMMER	702555	LE	TBA	CI	Ostoich, M.	05/09/2016 - 08/06/2016
OCCM8025	(1-16G)	OCC MED PRACTICUM	703000	IS	TBA	IN	Freeman, A.	05/09/2016 - 08/06/2016
OCCM8035	(1-16G)	OCC MED ELECT CLIN	703001	IS	TBA	IN	Freeman, A.	05/09/2016 - 08/06/2016
OCCM8088	(4G)	OCC DERM CLINIC	703002	IS	TBA	IN	Freeman, A.	05/09/2016 - 08/06/2016
OCCM8099	(1-16G)	OCC MED GEN CLINIC	703003	IS	TBA	IN	Freeman, A.	05/09/2016 - 08/06/2016
OLHR2050	(3)	FNDTN OF LEADERSHIP	702847	LE	TBA	WB	Rogers, N.	05/09/2016 - 08/06/2016
OLHR2051	(3)	ORG BEH FOR LEADERS	702015	IS	TBA	WB	Mobley, T.	05/09/2016 - 08/06/2016
OLHR2053	(3)	FNDTN STUDENT LEAD	702845	LE	TBA	WB	Mahoney, S.	05/09/2016 - 08/06/2016
OLHR3000	(3)	INTRO TO HR	701996	LE	TBA	WB	Mobley, T.	05/09/2016 - 08/06/2016
OLHR4095	(1-3)	INDIV WORK OLHR	703196	IS	TBA	IN	Rogers, N.	05/09/2016 - 08/06/2016
OLHR4098	(1-3)	LDRSHP PRACTICUM	703165	WEST	LE	TR     	4:00p - 5:00p	CI	Stone, C.	05/09/2016 - 08/06/2016
OM3080	(3)	OM	700179	WEST	LE	MWF    	2:15p - 3:15p	CI	Staff	05/09/2016 - 08/06/2016
OM5099	(1-6)	IND STUDY IN OM	700182	IS	TBA	IN	Fry, M.	05/09/2016 - 08/06/2016
OM9071	(1-15G)	RESEARCH IN OM	700187	IS	TBA	IN	Froehle, C.	05/09/2016 - 08/06/2016
OM9091	(1-15G)	PHD DISS RES IN OM	700188	IS	TBA	IN	Froehle, C.	05/09/2016 - 08/06/2016
ORGN9090	(1-12G)	DMA DOCUMENT	703253	LE	TBA	CI	Finney, T.	05/09/2016 - 08/06/2016
PARA2027	(3)	PARALEGAL PRACTICUM	702274	CLER	LE	W      	5:15p - 6:15p	CI	Rubel, J.	05/09/2016 - 08/06/2016
PCEU8011	(1G)	COSMETICFORMIV	703292	LE	TBA	WB	Kelm, G.	05/09/2016 - 08/06/2016
PCEU8015	(2G)	PHARMACOLOGY COSMET	703291	LE	TBA	WB	Kelm, G.	05/09/2016 - 08/06/2016
PCEU8016	(2G)	CONSUMER UNDERSTAND	703298	LE	TBA	WB	Kelm, G.	05/09/2016 - 08/06/2016
PCEU8030	(2G)	HAIR CARE SCIENCE	703285	LE	TBA	WB	Wickett, R.	05/09/2016 - 08/06/2016
PCEU8060	(2G)	CLIN/INST TEST SKIN	703286	LE	TBA	WB	Kelm, G.	05/09/2016 - 08/06/2016
PCEU8081	(2G)	COS SCI PROJECT I	703288	LE	TBA	WB	Kelm, G.	05/09/2016 - 08/06/2016
PCEU8091	(2G)	COS SCI PROJECT II	703290	LE	TBA	WB	Kelm, G.	05/09/2016 - 08/06/2016
PD2030	(3)	INNOVATION INQUIRY	703249	T	WEST	LE	TR     	3:30p - 4:50p	CI	Christopher, C.	05/09/2016 - 08/06/2016
PD2050	(1)	CO-OP COMMUNITY ENG	702548	WEST	LE	R      	1:30p - 2:25p	CI	Foley, T.	05/09/2016 - 08/06/2016
PD4026	(3)	ELABROADIND&CULTJAP	702547	I	FE	TBA	IN	Elliott, G.	05/09/2016 - 08/06/2016
PERC6000	(4*)	PERCUSSION SUMMER	703024	LE	TBA	CI	Culley, J.	05/09/2016 - 08/06/2016
PH8054	(3G)	QUALITY IN HC	702992	EAST	LE	M      	4:00p - 6:45p	CI	Carameli, K.	05/09/2016 - 08/06/2016
PH8090	(1-6G)	PH PRACTICUM	702029	IS	TBA	IN	Ying, J.	05/09/2016 - 08/06/2016
PH8091	(1-6G)	INDEPENDENT STUDY	702043	IS	TBA	IN	Ying, J.	05/09/2016 - 08/06/2016
PH8093	(1-8G)	GRANT PROPOSAL	702053	IS	TBA	IN	Ying, J.	05/09/2016 - 08/06/2016
PH8095	(1-6G)	EXT. PRACTICUM	702063	IS	TBA	IN	Ying, J.	05/09/2016 - 08/06/2016
PH8096	(1-3G)	CAPSTONE I	702072	IS	TBA	IN	Ying, J.	05/09/2016 - 08/06/2016
PH8097	(1-3G)	CAPSTONE II	702079	IS	TBA	IN	Ying, J.	05/09/2016 - 08/06/2016
PH8098	(0-3G)	THESIS I	702083	IS	TBA	IN	Ying, J.	05/09/2016 - 08/06/2016
PH8099	(0-3G)	THESIS II	702086	IS	TBA	IN	Ying, J.	05/09/2016 - 08/06/2016
PHDD8001	(2G)	DRUG DEV SEMINAR	703293	IS	TBA	IN	Desai, P.	05/09/2016 - 08/06/2016
PHID7001	(1-12G)	PHARMSCI RESEARCH	703294	IS	TBA	IN	Pauletti, G.	05/09/2016 - 08/06/2016
PHID8001	(1-12G)	MS RESEARCH	703295	IS	TBA	IN	Pauletti, G.	05/09/2016 - 08/06/2016
PHID9001	(1-15G)	PHD RESEARCH	703296	IS	TBA	IN	Pauletti, G.	05/09/2016 - 08/06/2016
PHID9010	(1-4G)	SPECIAL TOPICS I	703297	IS	TBA	IN	Pauletti, G.	05/09/2016 - 08/06/2016
PHPE9091	(4G)	MED/SURG EXP	700002	CL	TBA	IN	Doherty, M.	05/09/2016 - 08/06/2016
PHPE9092	(4G)	GEN MED EXP	700003	CL	TBA	IN	Doherty, M.	05/09/2016 - 08/06/2016
PHPE9093	(4G)	AMB CARE/ORG HC EXP	700005	CL	TBA	IN	Doherty, M.	05/09/2016 - 08/06/2016
PHPE9094	(4G)	AMB CARE/COMMUN EXP	700006	CL	TBA	IN	Doherty, M.	05/09/2016 - 08/06/2016
PHPE9095	(4G)	DI/DPD/MSM EXP	700007	CL	TBA	IN	Doherty, M.	05/09/2016 - 08/06/2016
PHPE9096	(4G)	DIR PAT CARE EXP	700008	CL	TBA	IN	Doherty, M.	05/09/2016 - 08/06/2016
PHPE9097	(4G)	ADV PROF EXP ELEC I	700009	CL	TBA	IN	Doherty, M.	05/09/2016 - 08/06/2016
PHPE9098	(4G)	ADV PROF EXP ELE II	700010	CL	TBA	IN	Doherty, M.	05/09/2016 - 08/06/2016
PHPE9099	(4G)	ADV PROF EXP EL III	700011	CL	TBA	IN	Doherty, M.	05/09/2016 - 08/06/2016
PHRX7095	(1-5G)	SPEC TOPICS PHARM	700566	IS	TBA	IN	Buring, S.	05/09/2016 - 08/06/2016
PHRX7096	(1-5G)	SPEC TOPICS PHARM	700567	IS	TBA	IN	Buring, S.	05/09/2016 - 08/06/2016
PHRX7097	(1-5G)	SPEC TOPICS PHARM	700568	IS	TBA	IN	Buring, S.	05/09/2016 - 08/06/2016
PHYS1020	(3)	THE SOLAR SYSTEM	702635	WEST	LE	TR     	9:45a - 11:15a	CI	Staff	05/09/2016 - 08/06/2016
PHYS1020	(3)	THE SOLAR SYSTEM	703170	CLER	LE	T      	6:00p - 8:50p	CI	Endres, T.	05/09/2016 - 08/06/2016
PHYS1052	(4)	GENERAL PHYSICS II	702192	CLER	LE	R      	5:00p - 6:25p	CI	Widmer, L.	CLER	LE	T      	5:00p - 7:25p	CI	05/09/2016 - 08/06/2016
PHYS1052	(4)	GENERAL PHYSICS II	702332	UCBA	LE	R      	6:00p - 6:55p	CI	Gallagher, J.	UCBA	RE	T      	6:00p - 9:05p	CI	05/09/2016 - 08/06/2016
PHYS1052L	(1)	GEN PHYSICS LAB II	702193	CLER	LB	R      	6:40p - 9:20p	CI	Widmer, L.	05/09/2016 - 08/06/2016
PHYS1052L	(1)	GEN PHYSICS LAB II	702331	UCBA	LE	R      	7:05p - 9:05p	CI	Gallagher, J.	05/09/2016 - 08/06/2016
PHYS2001	(4)	COLLEGE PHYSICS I	702701	WEST	LE	MWR    	8:00a - 9:00a	CI	Staff	WEST	RE	T      	8:00a - 9:00a	CI	05/09/2016 - 08/06/2016
PHYS2001L	(1)	COLLEGE PHYS LAB I	702702	WEST	LB	W      	10:00a - 12:20p	CI	Sitko, M.	05/09/2016 - 08/06/2016
PHYS2001L	(1)	COLLEGE PHYS LAB I	702703	WEST	LB	W      	12:30p - 2:50p	CI	Sitko, M.	05/09/2016 - 08/06/2016
PHYS2002	(4)	COLLEGE PHYSICS II	702708	WEST	LE	MWR    	9:15a - 10:15a	CI	Staff	WEST	RE	T      	9:15a - 10:15a	CI	05/09/2016 - 08/06/2016
PHYS2002L	(1)	COLLEGE PHYS LAB II	702709	WEST	LB	W      	11:15a - 1:35p	CI	Sitko, M.	05/09/2016 - 08/06/2016
PHYS4099	(3)	PHYSICS CAPSTONE	702710	IS	TBA	IN	Staff	05/09/2016 - 08/06/2016
PHYS8071	(1-12G)	ADV PROB	702711	IS	TBA	IN	Staff	05/09/2016 - 08/06/2016
PIAN1001	(2)	PIANO NON-MUS MAJOR	703321	LE	TBA	CI	Villemez, A.	05/09/2016 - 08/06/2016
PIAN5030	(1-2)	PIANO  ELECTIVE	703322	LE	TBA	CI	Villemez, A.	05/09/2016 - 08/06/2016
PIAN6001	(4*)	PIANO SUMMER	702557	LE	TBA	CI	Chertock, M.	05/09/2016 - 08/06/2016
PIAN6001	(4*)	PIANO SUMMER	703047	LE	TBA	CI	Tocco, J.	05/09/2016 - 08/06/2016
PIAN6001	(4*)	PIANO SUMMER	703048	LE	TBA	CI	Rivers, S.	05/09/2016 - 08/06/2016
PIAN6060	(1-3*)	INDEPENDENT STUDY	701000	LE	TBA	CI	Conda, J.	05/09/2016 - 08/06/2016
PIAN7099	(1G)	MASTER'S CANDIDACY	701001	LE	TBA	CI	Finney, T.	05/09/2016 - 08/06/2016
PIAN9085	(2G)	LECTURE RECITAL	701002	LE	TBA	CI	Conda, J.	05/09/2016 - 08/06/2016
PIAN9090	(1-12G)	DMA DOCUMENT	701003	LE	TBA	CI	Finney, T.	05/09/2016 - 08/06/2016
PMM7053	(0G)	HEALTH VOLUNTEER	700367	LB	TBA	IN	Blackard, J.	05/09/2016 - 08/06/2016
PMM8094	(3G)	RES ROTATION/SUMMER	700366	LB	TBA	IN	Woollett, L.	05/09/2016 - 08/06/2016
PMM9070	(3G)	APPLIED RES ELECT	700365	IS	TBA	IN	Woollett, L.	05/09/2016 - 08/06/2016
PMM9071	(1-15G)	THESIS RESEARCH	700364	IS	TBA	IN	Woollett, L.	05/09/2016 - 08/06/2016
PMSN7014	(2G)	ACCEL SOC PROF NSG	702485	EAST	LE	T      	11:30a - 1:30p	CI	Pryse, Y.	May 09 - Jun 06	05/09/2016 - 08/06/2016
PMSN7024C	(6G)	ACCEL NSG ADULTS	702514	EAST	LE	MT     	9:00a - 10:30a	CI	Catalano, L.	May 09 - Aug 06	OC  	CL	W      	6:30a - 5:00p	IN	May 11 - Jul 27	05/09/2016 - 08/06/2016
PMSN7024C	(6G)	ACCEL NSG ADULTS	702515	EAST	LE	MT     	9:00a - 10:30a	CI	Catalano, L.	May 09 - Aug 06	OC  	CL	W      	6:30a - 5:00p	IN	May 11 - Jul 27	05/09/2016 - 08/06/2016
PMSN7024C	(6G)	ACCEL NSG ADULTS	702516	EAST	LE	MT     	9:00a - 10:30a	CI	Catalano, L.	May 09 - Aug 06	OC  	CL	W      	6:30a - 5:00p	IN	May 11 - Jul 27	05/09/2016 - 08/06/2016
PMSN7024C	(6G)	ACCEL NSG ADULTS	702517	EAST	LE	MT     	9:00a - 10:30a	CI	Catalano, L.	May 09 - Aug 06	OC  	CL	F      	6:30a - 5:00p	IN	May 13 - Jul 29	05/09/2016 - 08/06/2016
PMSN7026	(2G)	ACCEL CONCEPTS COMM	702528	EAST	LE	T      	11:30a - 1:30p	CI	Howard, V.	05/09/2016 - 08/06/2016
PMSN7032C	(4G)	ACCEL MENTAL HEALTH	702521	EAST	LE	M      	11:30a - 1:30p	CI	Smith, V.	May 09 - Aug 06	OC  	CL	R      	1:00p - 7:00p	IN	May 12 - Jul 28	05/09/2016 - 08/06/2016
PMSN7032C	(4G)	ACCEL MENTAL HEALTH	702522	EAST	LE	M      	11:30a - 1:30p	CI	Smith, V.	May 09 - Aug 06	OC  	CL	R      	7:00a - 2:00p	IN	May 12 - Jul 28	05/09/2016 - 08/06/2016
PMSN7032C	(4G)	ACCEL MENTAL HEALTH	702523	EAST	LE	M      	11:30a - 1:30p	CI	Smith, V.	May 09 - Aug 06	OC  	CL	R      	7:00a - 2:00p	IN	May 12 - Jul 28	05/09/2016 - 08/06/2016
PMSN7032C	(4G)	ACCEL MENTAL HEALTH	702524	EAST	LE	M      	11:30a - 1:30p	CI	Smith, V.	May 09 - Aug 06	OC  	CL	R      	7:00a - 2:00p	IN	May 11 - Jul 28	05/09/2016 - 08/06/2016
PMSN7032C	(4G)	ACCEL MENTAL HEALTH	702525	EAST	LE	M      	11:30a - 1:30p	CI	Smith, V.	May 09 - Aug 06	OC  	CL	R      	7:00a - 2:00p	IN	May 12 - Jul 28	05/09/2016 - 08/06/2016
PMSN7032C	(4G)	ACCEL MENTAL HEALTH	702526	EAST	LE	M      	11:30a - 1:30p	CI	Smith, V.	May 09 - Aug 06	OC  	CL	R      	7:00a - 2:00p	IN	May 12 - Jul 28	05/09/2016 - 08/06/2016
PMSN7032C	(4G)	ACCEL MENTAL HEALTH	702527	EAST	LE	M      	11:30a - 1:30p	CI	Smith, V.	May 09 - Aug 06	OC  	CL	R      	7:00a - 1:00p	IN	May 12 - Jul 28	05/09/2016 - 08/06/2016
PMSN7043C	(9G)	ACCEL COMPLEX	702464	EAST	L2	T      	1:00p - 2:30p	CI	Schwytzer, D.	May 10 - May 10	EAST	L3	T      	1:00p - 2:30p	CI	May 24 - May 24	EAST	L4	T      	1:00p - 2:30p	CI	Jun 07 - Jun 07	EAST	L5	T      	1:00p - 2:30p	CI	Jun 21 - Jun 21	EAST	L6	T      	1:00p - 2:30p	CI	Jul 05 - Jul 05	EAST	L7	T      	1:00p - 2:30p	CI	Jul 19 - Jul 19	EAST	LE	T      	8:30a - 12:30p	CI	May 09 - Aug 06	CL	TBA	IN	May 09 - Aug 06	05/09/2016 - 08/06/2016
POL3000	(3)	POLITICAL INQUIRY	702870	OT	TBA	WB	Rothenstein, R.	05/09/2016 - 08/06/2016
POL4010	(1-4)	IND WORK: AMER POL	702879	R	IS	TBA	IN	Ivanov, I.	05/09/2016 - 08/06/2016
POL4040	(1-4)	IND WORK POL THEORY	702882	R	IS	TBA	IN	Ivanov, I.	05/09/2016 - 08/06/2016
POL4060	(1-4)	IND WORK: COMP POL	702883	R	IS	TBA	IN	Ivanov, I.	05/09/2016 - 08/06/2016
POL4080	(1-4)	IND WORK: INTL REL	702885	R	IS	TBA	IN	Ivanov, I.	05/09/2016 - 08/06/2016
POL5000	(2-3)	SENIOR THESIS I	702888	R	IS	TBA	IN	Ivanov, I.	05/09/2016 - 08/06/2016
POL5001	(2-3)	SENIOR THESIS II	702890	R	IS	TBA	IN	Ivanov, I.	05/09/2016 - 08/06/2016
POL8019	(1-15G)	IND WORK: AMER POL	702893	R	IS	TBA	IN	Mockabee, S.	05/09/2016 - 08/06/2016
POL8049	(1-15G)	IND WORK: POL THEOR	702894	R	IS	TBA	IN	Mockabee, S.	05/09/2016 - 08/06/2016
POL8059	(1-15G)	IND WORK: METHODS	702899	R	IS	TBA	IN	Mockabee, S.	05/09/2016 - 08/06/2016
POL8079	(1-15G)	IND WORK: COMP POL	702901	R	IS	TBA	IN	Mockabee, S.	05/09/2016 - 08/06/2016
POL8089	(1-15G)	IND WORK: INTL REL	702903	R	IS	TBA	IN	Mockabee, S.	05/09/2016 - 08/06/2016
POL8095	(1-15G)	MA THESIS RESEARCH	702906	R	IS	TBA	IN	Mockabee, S.	05/09/2016 - 08/06/2016
POL8096	(1-15G)	MA NON-THESIS RES	702909	R	IS	TBA	IN	Mockabee, S.	05/09/2016 - 08/06/2016
POL9095	(1-15G)	PHD DISSERT RES	702912	R	IS	TBA	IN	Mockabee, S.	05/09/2016 - 08/06/2016
PSYC1001	(3)	INTRO TO PSYCHOLOGY	701111	OT	TBA	WB	Oehlhof, M.	05/09/2016 - 08/06/2016
PSYC1001	(3)	INTRO TO PSYCHOLOGY	701993	OT	TBA	WB	Sinha, D.	05/09/2016 - 08/06/2016
PSYC2005	(3)	CHILD & ADOL DEVEL	702581	OT	TBA	WB	Sanders, S.	05/09/2016 - 08/06/2016
PSYC2005	(3)	CHILD & ADOL DEVEL	702582	OT	TBA	WB	Sanders, S.	05/09/2016 - 08/06/2016
PSYC2010	(3)	HUMAN SEXUALITY	701118	OT	TBA	WB	Oehlhof, M.	05/09/2016 - 08/06/2016
PSYC2012	(3)	SPORT PSYCHOLOGY	702000	IS	TBA	WB	Walker, B.	05/09/2016 - 08/06/2016
PSYC2015	(3)	SOCIAL PSYCH	701119	OT	TBA	WB	Ayers, K.	05/09/2016 - 08/06/2016
PSYC2020	(3)	COGNITION & LRNING	701987	OT	TBA	WB	Shyan-Norwalt, M.	05/09/2016 - 08/06/2016
PSYC2042	(3)	INTERPERSONAL RELS	701983	IS	TBA	WB	Green, E.	05/09/2016 - 08/06/2016
PSYC2053	(3)	PERSONALITY	701977	LE	TBA	WB	Rogers, N.	05/09/2016 - 08/06/2016
PSYC2098	(1-6)	ADV RESEARCH PRCTM	703144	LE	TBA	IN	Green, E.	05/09/2016 - 08/06/2016
PSYC3029	(3)	PSYCH IN WORKPLACE	701974	IS	TBA	WB	Bennett-Powell, P.	05/09/2016 - 08/06/2016
PSYC3033	(3)	DEVELOPMENTL ISSUES	701976	IS	TBA	WB	Parkins, I.	05/09/2016 - 08/06/2016
PSYC3070	(3)	SUBSTANCE USE&ABUSE	702670	OT	TBA	WB	Sears, R.	05/09/2016 - 08/06/2016
PSYC4038	(1-6)	SENIOR THESIS	703025	LE	TBA	IN	Chrobot-Mason, D.	05/09/2016 - 08/06/2016
PSYC5057	(3)	RES METH: COG PSYCH	702995	LE	TBA	WB	Shyan-Norwalt, M.	05/09/2016 - 08/06/2016
PSYC5060	(3)	RES METH:HUMFACTORS	702917	WEST	LE	W      	6:00p - 9:00p	CI	Funke, G.	05/09/2016 - 08/06/2016
PT8061C	(4G)	APPL ANAT I	701961	EAST	LE	M      	8:30a - 12:00p	CI	Mulligan, E.	EAST	LE	TWR    	12:30p - 4:00p	CI	EAST	LE	W      	8:30a - 11:30a	CI	05/09/2016 - 08/06/2016
PT8079C	(3G)	INTRO INTERVENTIONS	701962	EAST	LE	RF     	8:30a - 11:30a	CI	Just, B.	EAST	LE	T      	8:30a - 11:30a	CI	05/09/2016 - 08/06/2016
PT9001	(4-12G)	PTP I	701963	PR	TBA	IN	Gleason, R.	05/09/2016 - 08/06/2016
PT9001	(4-12G)	PTP I	702362	PR	TBA	IN	Gleason, R.	05/09/2016 - 08/06/2016
PT9002	(4-12G)	PTP II	701964	PR	TBA	IN	Gleason, R.	05/09/2016 - 08/06/2016
PT9002	(4-12G)	PTP II	702363	PR	TBA	IN	Gleason, R.	05/09/2016 - 08/06/2016
RDTN2012	(3)	CLIN PRACT II	700437	UCBA	CL	MWF    	7:30a - 4:00p	CI	Roman, T.	05/09/2016 - 08/06/2016
RDTN2042C	(3)	RAD II	700438	UCBA	LB	T      	7:30a - 10:20a	CI	Roman, T.	UCBA	LE	T      	10:30a - 12:20p	CI	05/09/2016 - 08/06/2016
RDTN2042C	(3)	RAD II	700440	UCBA	LB	T      	1:00p - 3:50p	CI	Roman, T.	UCBA	LE	T      	10:30a - 12:20p	CI	05/09/2016 - 08/06/2016
RDTN2042C	(3)	RAD II	700441	UCBA	LB	R      	7:30a - 10:20a	CI	Roman, T.	UCBA	LE	T      	10:30a - 12:20p	CI	05/09/2016 - 08/06/2016
RE3095	(3)	REAL ESTATE FIN	700189	WEST	LE	M      	6:00p - 9:00p	CI	Staff	05/09/2016 - 08/06/2016
RE7081	(1-3G)	INDIVIDUAL STUDY	700190	IS	TBA	IN	Bond, S.	05/09/2016 - 08/06/2016
RELG2039	(3)	ANGELS	702101	WEST	LE	W      	6:00p - 9:10p	CI	Brolley, J.	05/09/2016 - 08/06/2016
RELG2062	(3)	HIST & THT BUDDHISM	702104	WEST	LE	T      	6:00p - 9:10p	CI	Griffith, D.	05/09/2016 - 08/06/2016
RELG2063	(3)	RELIGION IN ANIMATI	703053	LE	TBA	WB	Griffith, D.	05/09/2016 - 08/06/2016
RSTH4001	(9)	RSCH METH & ANALYS	700314	LE	TBA	WB	Keene, K.	05/09/2016 - 08/06/2016
RSTH5001	(6)	RESP THER CAPSTONE	700315	LE	TBA	WB	Keene, K.	05/09/2016 - 08/06/2016
RT1003C	(4)	MECH VETILATION	701979	CLER	LB	F      	9:05a - 11:00a	CI	Mullarkey, M.	CLER	LE	TR     	9:30a - 10:50a	CI	05/09/2016 - 08/06/2016
RT1003C	(4)	MECH VETILATION	701982	CLER	LB	F      	11:15a - 1:10p	CI	Mullarkey, M.	CLER	LE	TR     	9:30a - 10:50a	CI	05/09/2016 - 08/06/2016
RT1013C	(2)	RC CLIN PRACTICE II	701986	CLER	LE	T      	11:15a - 12:10p	CI	Kaminski, J.	OC  	CL	MW     	7:00a - 3:30p	CI	05/09/2016 - 08/06/2016
SACN2000	(3)	BASIC PHARMACOLOGY	702958	LE	TBA	WB	Staff	05/09/2016 - 08/06/2016
