AEEM9074	(1-15G)	READING COURSE	701715	IS	TBA	IN	Munday, D.	05/09/2016 - 08/06/2016
AEEM9074	(1-15G)	READING COURSE	701716	IS	TBA	IN	Nagy, P.	05/09/2016 - 08/06/2016
AEEM9074	(1-15G)	READING COURSE	701717	IS	TBA	IN	Orkwis, P.	05/09/2016 - 08/06/2016
AEEM9074	(1-15G)	READING COURSE	701718	IS	TBA	IN	Rozier, K.	05/09/2016 - 08/06/2016
AEEM9074	(1-15G)	READING COURSE	701719	IS	TBA	IN	Simonetti, F.	05/09/2016 - 08/06/2016
AEEM9074	(1-15G)	READING COURSE	701720	IS	TBA	IN	Turner, M.	05/09/2016 - 08/06/2016
AEEM9074	(1-15G)	READING COURSE	701721	IS	TBA	IN	Walker, B.	05/09/2016 - 08/06/2016
AIS3070	(3)	APPL WKPL WRITING	702338	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
AIS4052	(3)	APPL MEDIA METHODS	700681	UCBA	LE	M      	6:00p - 9:00p	CI	Hubble, D.	05/09/2016 - 08/06/2016
ALH1005	(1)	HEALTH CARE EDGE	701989	CLER	LE	T      	1:00p - 1:55p	CI	Mullarkey, M.	05/09/2016 - 08/06/2016
ALH1015C	(2)	HUMAN DISEASE	703327	OT	TBA	WB	Hoffman, A.	05/09/2016 - 08/06/2016
ALH2071	(3)	PATHOPHYS HLTH PROF	700413	OT	TBA	WB	Hemme, E.	05/09/2016 - 08/06/2016
ALH4022	(3)	LEG & ECON ASP HC	700443	OT	TBA	WB	McDaniel, M.	05/09/2016 - 08/06/2016
AMIT4006	(4)	DIAG MRI IMG III	702674	EAST	LE	M      	1:25p - 5:10p	CI	Southers, G.	05/09/2016 - 08/06/2016
AMIT4009	(3)	MRI PHYSICS III	702673	EAST	LE	M      	10:10a - 12:50p	CI	Southers, G.	05/09/2016 - 08/06/2016
AMIT4013	(4)	MRI DIR PRAC III	702675	NS	PR	TBA	IN	Southers, G.	05/09/2016 - 08/06/2016
AMIT4022	(4)	NMT AP&P III	702678	EAST	LE	TR     	10:30a - 12:10p	CI	Vespie, A.	05/09/2016 - 08/06/2016
AMIT4031	(3)	NMT PHYS II	702679	EAST	LE	TR     	1:25p - 2:40p	CI	Staff	05/09/2016 - 08/06/2016
AMIT4035	(4)	NMT DIR PRAC III	702680	NS	PR	TBA	IN	Vespie, A.	05/09/2016 - 08/06/2016
AMIT4092	(1)	MED IMG REV	702681	R	LE	TBA	WB	Vespie, A.	05/09/2016 - 08/06/2016
ANAN8004	(3G)	ANP ANESTHESIA III	702724	EAST	LE	M      	3:30p - 6:30p	CI	Staff	05/09/2016 - 08/06/2016
ANAN8030	(4G)	ANP ANESTH INTERN I	702725	EAST	LE	R      	3:30p - 6:30p	CI	Staff	PR	TBA	IN	05/09/2016 - 08/06/2016
ANAN8036	(1-4G)	ANPANESTH INTERN IV	703255	EAST	LE	R      	3:30p - 6:30p	IN	Staff	PR	TBA	IN	05/09/2016 - 08/06/2016
ANNA8002	(3G)	N ADMIN SEMINAR	702827	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANNA8006	(3G)	STRAT LEAD & MANG	702727	OT	TBA	WB	Adams, D.	05/09/2016 - 08/06/2016
ANNA8024	(3G)	NA PRACTICUM III	702728	PR	TBA	WB	Adams, D.	05/09/2016 - 08/06/2016
ANNP8010	(3G)	AGAC NP PRACT I	702729	PR	TBA	IN	Miniard, J.	05/09/2016 - 08/06/2016
ANNP8020	(1G)	AGAC NP SEMINAR I	702730	EAST	S2	R      	11:00a - 1:00p	CI	Miniard, J.	May 26 - May 26	EAST	S3	R      	11:00a - 1:00p	CI	Jun 09 - Jun 09	EAST	S4	R      	11:00a - 1:00p	CI	Jun 23 - Jun 23	EAST	S5	R      	11:00a - 1:00p	CI	Jul 07 - Jul 07	EAST	S6	R      	11:00a - 1:00p	CI	Jul 21 - Jul 21	EAST	S7	R      	11:00a - 1:00p	CI	Aug 04 - Aug 04	EAST	SE	R      	11:00a - 1:00p	CI	May 12 - May 12	05/09/2016 - 08/06/2016
ANNP8030	(3G)	CL MANAGEMENT AHP I	702731	OT	TBA	WB	Donaworth, S.	05/09/2016 - 08/06/2016
ANNP8032	(3G)	CL MANAGEMENT AH II	702732	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANNP8040	(2G)	AGPC NP PRACT I	702733	PR	TBA	IN	Staff	05/09/2016 - 08/06/2016
ANNP8040	(2G)	AGPC NP PRACT I	702734	PR	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANNP8042	(3G)	AGPC NP PRACT II	702736	PR	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANNP8042	(3G)	AGPC NP PRACT II	702738	PR	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANNP8044	(4G)	ADULT NP PRACT III	702740	PR	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANNP8050	(1G)	AGPC NP SEMINAR I	702741	EAST	S2	R      	11:00a - 1:00p	CI	Staff	May 26 - May 26	EAST	S3	R      	11:00a - 1:00p	CI	Jun 09 - Jun 09	EAST	S4	R      	11:00a - 1:00p	CI	Jun 23 - Jun 23	EAST	S5	R      	11:00a - 1:00p	CI	Jul 07 - Jul 07	EAST	S6	R      	11:00a - 1:00p	CI	Jul 21 - Jul 21	EAST	S7	R      	11:00a - 1:00p	CI	Aug 04 - Aug 04	EAST	SE	R      	11:00a - 1:00p	CI	May 12 - May 12	05/09/2016 - 08/06/2016
ANNP8050	(1G)	AGPC NP SEMINAR I	702742	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANNP8052	(1G)	AGPC NP SEMINAR II	702743	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANNP8054	(2G)	AGPC NP SEMINAR III	702745	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANNP8060	(3G)	CM WOMEN/CHILD FNP	702746	OT	TBA	WB	Staff	05/09/2016 - 08/06/2016
ANNP8070	(2G)	FNP PRACTICUM I	702747	PR	TBA	IN	Trees, W.	05/09/2016 - 08/06/2016
ANNP8070	(2G)	FNP PRACTICUM I	702748	PR	TBA	WB	Gregg, J.	05/09/2016 - 08/06/2016
