Summer Semester 2015-16 (05/09 - 08/06/2016)	
ANAN8004 	(3G)	ANP ANESTHESIA III		 	001 	702724		EAST	LE	M      	3:30p - 6:30p	CI	 	Staff		
ANAN8030	(4G)	ANP ANESTH INTERN I		 	001 	702725		EAST	LE	R      	3:30p - 6:30p	CI	 	Staff		 	 	 	 		PR	TBA		IN	 	 	 	
ANAN8036	(1-4G)	ANPANESTH INTERN IV		 	002	703255		EAST	LE	R      	3:30p - 6:30p	IN	 	Staff		 	 	 	 		PR	TBA		IN	 	 	 	
ANNA8002	(3G)	N ADMIN SEMINAR		 	001 	702827			OT	TBA		WB	 	Staff		
ANNA8006	(3G)	STRAT LEAD & MANG		 	001 	702727			OT	TBA		WB	 	Adams, D.		
ANNA8024 	(3G)	NA PRACTICUM III		 	001 	702728			PR	TBA		WB	 	Adams, D.		
ANNP8010	(3G)	AGAC NP PRACT I		 	001 	702729			PR	TBA		IN	 	Miniard, J.		
ANNP8020	(1G)	AGAC NP SEMINAR I		 	001 	702730		EAST	S2	R      	11:00a - 1:00p	CI	 	Miniard, J.			May 26 - May 26		 	 	 	 	EAST	S3	R      	11:00a - 1:00p	CI	 	 	 		Jun 09 - Jun 09		 	 	 	 	EAST	S4	R      	11:00a - 1:00p	CI	 	 	 		Jun 23 - Jun 23		 	 	 	 	EAST	S5	R      	11:00a - 1:00p	CI	 	 	 		Jul 07 - Jul 07		 	 	 	 	EAST	S6	R      	11:00a - 1:00p	CI	 	 	 		Jul 21 - Jul 21		 	 	 	 	EAST	S7	R      	11:00a - 1:00p	CI	 	 	 		Aug 04 - Aug 04		 	 	 	 	EAST	SE	R      	11:00a - 1:00p	CI	 	 	 		May 12 - May 12		
ANNP8030 	(3G)	CL MANAGEMENT AHP I		 	001 	702731			OT	TBA		WB	 	Donaworth, S.		
ANNP8032 	(3G)	CL MANAGEMENT AH II		 	001 	702732			OT	TBA		WB	 	Staff		
ANNP8040	(2G)	AGPC NP PRACT I		 	001 	702733			PR	TBA		IN	 	Staff		 	002 	702734			PR	TBA		WB	 	Staff		
ANNP8042	(3G)	AGPC NP PRACT II		 	001 	702736			PR	TBA		WB	 	Staff		 	002 	702738			PR	TBA		WB	 	Staff		
ANNP8044	(4G)	ADULT NP PRACT III		 	001 	702740			PR	TBA		WB	 	Staff		
ANNP8050	(1G)	AGPC NP SEMINAR I		 	001 	702741		EAST	S2	R      	11:00a - 1:00p	CI	 	Staff			May 26 - May 26		 	 	 	 	EAST	S3	R      	11:00a - 1:00p	CI	 	 	 		Jun 09 - Jun 09		 	 	 	 	EAST	S4	R      	11:00a - 1:00p	CI	 	 	 		Jun 23 - Jun 23		 	 	 	 	EAST	S5	R      	11:00a - 1:00p	CI	 	 	 		Jul 07 - Jul 07		 	 	 	 	EAST	S6	R      	11:00a - 1:00p	CI	 	 	 		Jul 21 - Jul 21		 	 	 	 	EAST	S7	R      	11:00a - 1:00p	CI	 	 	 		Aug 04 - Aug 04		 	 	 	 	EAST	SE	R      	11:00a - 1:00p	CI	 	 	 		May 12 - May 12		 	002 	702742			OT	TBA		WB	 	Staff		
ANNP8052	(1G)	AGPC NP SEMINAR II		 	001 	702743			OT	TBA		WB	 	Staff		
ANNP8054	(2G)	AGPC NP SEMINAR III		 	001 	702745			OT	TBA		WB	 	Staff		
ANNP8060	(3G)	CM WOMEN/CHILD FNP		 	001 	702746			OT	TBA		WB	 	Staff		
ANNP8070	(2G)	FNP PRACTICUM I		 	001 	702747			PR	TBA		IN	 	Trees, W.		 	002 	702748			PR	TBA		WB	 	Gregg, J.		
ANNP8072	(3G)	FNP PRACTICUM II		 	001 	702749			PR	TBA		WB	 	Gregg, J.		 	002 	703299			PR	TBA		WB	 	Fathman, A.		
ANNP8074	(4G)	FNP PRACTICUM III		 	001 	702750			PR	TBA		WB	 	Staff		
ANNP8080	(1G)	FNP SEMINAR 1		 	001 	702751		EAST	S2	R      	11:00a - 1:00p	CI	 	Trees, W.			May 26 - May 26		 	 	 	 	EAST	S3	R      	11:00a - 1:00p	CI	 	 	 		Jun 09 - Jun 09		 	 	 	 	EAST	S4	R      	11:00a - 1:00p	CI	 	 	 		Jun 23 - Jun 23		 	 	 	 	EAST	S5	R      	11:00a - 1:00p	CI	 	 	 		Jul 07 - Jul 07		 	 	 	 	EAST	S6	R      	11:00a - 1:00p	CI	 	 	 		Jul 21 - Jul 21		 	 	 	 	EAST	S7	R      	11:00a - 1:00p	CI	 	 	 		Aug 04 - Aug 04		 	 	 	 	EAST	SE	R      	11:00a - 1:00p	CI	 	 	 		May 12 - May 12		 	002 	702752			OT	TBA		WB	 	Gregg, J.		
ANNP8082 	(1G)	FNP SEMINAR II		 	001 	702753			OT	TBA		WB	 	Gregg, J.		 	002	703300			OT	TBA		WB	 	Fathman, A.		
ANNP8084	(2G)	FNP SEMINAR III		 	001 	702754			OT	TBA		WB	 	Staff		
ANNP8086 	(1G)	PM FNP INTERNSHIP I		 	001 	703277			PR	TBA		IN	 	Trees, W.		 	002 	703278			PR	TBA		IN	 	Trees, W.		
ANNP8087 	(1G)	PM FNP INTERNSHP II		 	001 	703279			PR	TBA		IN	 	Trees, W.		 	002 	703280			PR	TBA		IN	 	Trees, W.		
ANNP8088 	(1G)	PM FNP INTERNSP III		 	001 	703281			PR	TBA		IN	 	Trees, W.		 	002 	703282			PR	TBA		IN	 	Trees, W.		
ANNP8089 	(1G)	FNP INTERNSHIP IV		 	001 	703283			PR	TBA		IN	 	Trees, W.		 	002 	703284			PR	TBA		IN	 	Trees, W.		
ANPC8070	(2G)	ADV PHYS FETUS		 	001 	702755			LE	TBA		CI	 	Moniaci, V.		 	002	703166			LE	TBA		CI	 	Staff		
ANPC8080	(3G)	NEO PRACT I		 	001	703184			PR	TBA		IN	 	Moniaci, V.		 	002	703185			PR	TBA		IN	 	Staff		 	003	703186			PR	TBA		IN	 	Staff		
ANPC8082	(5G)	NEO NSG PRACT II		 	001	703154			PR	TBA		IN	 	Moniaci, V.		 	002	703190			PR	TBA		IN	 	Staff		 	003	703191			PR	TBA		IN	 	Staff		 	004	703192			PR	TBA		IN	 	Staff		 	005	703193			PR	TBA		IN	 	Staff		
ANPC8084	(7G)	NEO NSG PRACT III		 	001	703244			PR	TBA		IN	 	Moniaci, V.		
ANPC8098 	(2G)	NNP INTERNSHIP I		 	001	703194			PR	TBA		IN	 	Moniaci, V.		 	002	703195			PR	TBA		IN	 	Staff		
ANPC8099	(1-5G)	NNP INTERNSHIP II		 	001	703182			PR	TBA		IN	 	Moniaci, V.		 	002	703183			PR	TBA		IN	 	Staff		
ANPS8003	(3G)	PSYCHDISORDERS LIFE		 	001 	702756			OT	TBA		WB	 	Staff		
ANPS8005	(3G)	NERO/ PSYCH PHARM		 	001 	702758			OT	TBA		WB	 	Reinstatler, K.		
ANPS8007 	(2G)	SYSTEMS, IND/GROUP		 	001 	702759			OT	TBA		WB	 	Mcintosh, D.		
ANPS8008	(2G)	ROLE PMH NP		 	001 	702760			OT	TBA		WB	 	White-heisel, R.		
ANPS8013	(3G)	PSYCH MANAGE ADULTS		 	001 	702761			OT	TBA		WB	 	Staff		
ANPS8014	(3G)	PSYCH MANAGE CHILD		 	001 	702762			OT	TBA		WB	 	Staff		
ANPS8028	(1G)	SUP CLINICAL/LIFE I		 	001 	702764			OT	TBA		WB	 	Brammer, S.		
ANPS8030	(1G)	SUP CLINICAL LIFEII		 	001 	702765			OT	TBA		WB	 	Weinstock, K.		
ANPS8032	(2G)	SUP CLINICAL LIFE 3		 	001 	702766			OT	TBA		WB	 	Staff		
ANTH1001	(3)	CULTURAL ANTH		 	001	700320			LE	TBA		WB	 	Simonton, M.		
ANTH4034 	(3-6)	DOM FLD RES ARCH		 	001	700369			FE	TBA		IN	 	Sullivan, A.		
ANTH4035 	(3-6)	INTER FLD RES ARCH		 	001	700370	I		FE	TBA		IN	 	Allen, S.		
ANTH5020	(3-6)	PUBLIC ARCHAEOLOGY		 	001	700371			PR	TBA		IN	 	Sullivan, A.		
ANW8000	(3G)	ADV REPRODUCTIVEDYN		 	001 	702767			OT	TBA		WB	 	Staff		
ANW8004 	(3G)	PC ILLNESS WOMEN		 	001 	702769			OT	TBA		WB	 	Hachey, L.		
